Year,Mo,Dy,Hr,Name,Latitude,Longitude,magnitude,deaths,location
1900,1,10,,INDONESIA: GALELA (HALMAHERA ISLAND),-0.03,127.25,,,INDONESIA
1900,1,11,9,JAPAN: SEA OF JAPAN,36.5,133.5,7.8,,JAPAN
1900,1,14,,INDONESIA: JAVA: SUKABUMI,-6.84,106.96,,,INDONESIA
1900,1,20,6,MEXICO,20,-105,7.4,,MEXICO
1900,5,16,20,MEXICO: NEAR COAST OF JALISCO,20,-105,7.8,,MEXICO
1900,6,7,22,"VENEZUELA: CASANAY (CASANAI),CARIACO",10.3,-63.3,,,VENEZUELA
1900,6,21,20,COSTA RICA,10,-85.5,7.5,,COSTA RICA
1900,7,12,6,"TURKEY: KARS,KARAKURT,KAGIZMAN,DIGOR",40.3,43.1,5.9,140,TURKEY
1900,7,29,6,SOLOMON ISLANDS: SANTA CRUZ ISLANDS,-10,165,7.6,,SOLOMON ISLANDS
1900,8,11,4,ALASKA: SE. ALASKA,58.6,-137.5,,,ALASKA
1900,9,10,21,PAPUA NEW GUINEA: BISMARCK SEA,-4,152,6.8,,PAPUA NEW GUINEA
1900,9,17,21,PAPUA NEW GUINEA: RABAUL HARBOR,-5,148,7.1,,PAPUA NEW GUINEA
1900,9,18,,COLOMBIA,4.6,-74,7.9,,COLOMBIA
1900,10,7,21,INDONESIA: NW. IRIAN JAYA,-4,140,6.9,,INDONESIA
1900,10,9,12,ALASKA: KODIAK ISLAND,57.09,-153.48,8.3,,ALASKA
1900,10,29,9,VENEZUELA: MACUTO,11,-66,8.4,,VENEZUELA
1900,12,25,5,RUSSIA: KURIL ISLANDS,43,146,7.9,,RUSSIA
1900,,,,VENEZUELA: MAIQUETIA,10.6,-66.95,,,VENEZUELA
1901,1,7,0,ECUADOR: ESMERALDAS,-2,-82,7.8,,ECUADOR
1901,2,15,,CHINA: YUNNAN PROVINCE,26,100.1,6,,CHINA
1901,3,3,7,CALIFORNIA: SAN DIEGO,36,-120.5,6.4,,CALIFORNIA
1901,3,31,7,"BULGARIA: BALCHIK, KAVARNA, BLATNITSA, LIMANU",43.4,28.7,6.4,4,BULGARIA
1901,3,31,7,BULGARIA: BALCHIK,43.4,28.5,7.2,4,BULGARIA
1901,4,5,22,RUSSIA: KURIL ISLANDS,45,148,7.5,,RUSSIA
1901,6,15,,"IWATE, JAPAN",39,143,,,"IWATE, JAPAN"
1901,6,24,7,JAPAN: RYUKYU ISLANDS,27,130,7.9,,JAPAN
1901,8,9,9,JAPAN: OFF NORTHEAST COAST HONSHU,40.5,142.5,7.9,,JAPAN
1901,8,9,13,NEW CALEDONIA: LOYALTY ISLANDS,-22,170,7.9,,NEW CALEDONIA
1901,8,9,18,JAPAN: OFF NORTHEAST COAST HONSHU,40.6,142.3,8.2,18,JAPAN
1901,8,9,20,JAPAN: OFF NORTHEAST COAST HONSHU,40.5,142.5,6.3,,JAPAN
1901,9,10,0,"PHILIPPINES: LUZON: E TAYABAS,CALAUAG BAY",14,121.6,,,PHILIPPINES
1901,10,8,2,NICARAGUA,11,-86.5,7,,NICARAGUA
1901,11,8,10,"TURKEY: HASANKALE,HINS,ERZURUM",40,41.5,6.1,,TURKEY
1901,12,14,22,PHILIPPINES: LUZON,14,122,7.8,,PHILIPPINES
1901,12,18,3,"TURKEY: AYVALIK, MOSKO IS: GREECE: KHIOS",39.4,26.7,5.9,,TURKEY
1901,12,31,9,ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS,51.45,-171.02,7.8,,ALASKA
1902,1,1,5,ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS,52.4,-167.5,7.8,,ALASKA
1902,1,16,,MEXICO: GUERRERO,17.6,-99.7,7,2,MEXICO
1902,1,18,23,"GUATEMALA: SAN MARTIN, QUEZALTENANGO",14.71,-91.59,6.3,,GUATEMALA
1902,1,24,23,PAPUA NEW GUINEA,-8,150,7.8,,PAPUA NEW GUINEA
1902,2,9,7,TONGA ISLANDS,-20,-174,7.8,,TONGA ISLANDS
1902,2,13,9,AZERBAIJAN: SEMACHA: N IRAN,40.7,48.6,6.9,86,AZERBAIJAN
1902,2,26,,EL SALVADOR-GUATEMALA,13.5,-89.5,7,,EL SALVADOR-GUATEMALA
1902,3,9,7,TURKEY: CANKIRI,40.7,33.6,5.5,4,TURKEY
1902,4,19,2,"GUATEMALA: QUEZALTENANGO, SAN MARCOS",14,-91,7.5,2000,GUATEMALA
1902,4,29,6,CALIFORNIA: SOUTHERN,34.5,-120.5,,,CALIFORNIA
1902,6,9,,"IRAN: QESHM,BANDAR ABBAS",26.6,56.2,,10,IRAN
1902,6,11,5,RUSSIA: SEA OF OKHOTSK,50,148,8,,RUSSIA
1902,7,5,14,TURKEY: THESSALONIKI,40.75,23.25,6.6,,TURKEY
1902,7,9,3,"IRAN: QESHM ISLAND: QESHM,BANDAR ABBAS,GENU",27.1,56.3,,,IRAN
1902,8,21,11,"PHILIPPINES: MINDANAO: LANAO, COTABATO",7.5,123.5,7.3,,PHILIPPINES
1902,8,22,3,"CHINA: XINJIANG, TURKESTAN",39.88,76.2,7.7,2500,CHINA
1902,8,26,1,"PHILIPPINES: ILOILO,PANAY",10.8,122.6,,,PHILIPPINES
1902,8,,,CHINA: YUNNAN PROVINCE,26.3,99.9,5.5,6,CHINA
1902,9,22,1,GUAM: AGANA,18,146,8.1,,GUAM
1902,9,23,20,"MEXICO: VENUSTIANO CARRANZA,CHIAPAS,CHIS,TABASCO",16.6,-92.6,7.8,,MEXICO
1902,12,12,23,MEXICO: BAJA CALIFORNIA,29,-114,7.8,,MEXICO
1902,12,16,5,UZBEKISTAN: ANDIZHAN,40.8,72.3,6.4,4880,UZBEKISTAN
1903,1,4,5,TONGA ISLANDS,-20,-175,8,,TONGA ISLANDS
1903,1,14,1,MEXICO: OFF COAST OF GUERRERO,15,-98,7.7,,MEXICO
1903,2,1,9,MONGOLIA,48,98,7.8,,MONGOLIA
1903,2,10,2,GUAM,14,143.3,,,GUAM
1903,2,27,0,INDONESIA: S OF JAVA,-8,106,8.1,,INDONESIA
1903,3,29,22,ISRAEL: NABULUS,32.2,35.3,5.7,20,ISRAEL
1903,3,30,,"INDONESIA: TIFU, MASARETE, KAJELI",-3,127.5,6.5,,INDONESIA
1903,4,19,,TURKEY,39.1,42.4,,1700,TURKEY
1903,4,28,23,TURKEY: MALAZGIRT,39.1,42.5,6.3,3560,TURKEY
1903,5,13,6,VANUATU ISLANDS,-17,168,7.9,,VANUATU ISLANDS
1903,5,13,,ITALY: PALERMO,38.1,13.4,,,ITALY
1903,5,28,3,"TURKEY: VARGINIS,CARDAHLI,MEHKEREK",40.9,42.7,5.8,1000,TURKEY
1903,6,2,13,ALASKA: SOUTHWEST,61.56,-158.54,8.3,,ALASKA
1903,7,16,,MEXICO: ACAPULCO,16.7,-99.2,,,MEXICO
1903,7,28,4,ITALY: N,44.3,10,,,ITALY
1903,8,8,1,COLOMBIA,4.6,-74,7.7,,COLOMBIA
1903,8,11,4,GREECE: MITATA (KYTHERA),36,23,7.8,2,GREECE
1903,9,7,,TAIWAN,,,,,TAIWAN
1903,9,25,1,IRAN: KASHMAR,35.2,58.2,6.5,350,IRAN
1903,9,26,,CHILE: IQUIQUE,-20.2,-70.15,,,CHILE
